"","date","RM","measurand","based.on","unit","mean.before","mean.after","median.before","median.after","median.after.noPP","sL","sbb","sr","u","u.alternative","t.value","outlier","labs.remaining","property.value","U"
"25","2014-07-21","OKUM","LOI","median","g/100g",4.594,4.594,4.69,4.69,4.69,0.0694,0.00442,0.001932,0.0568,0.057,2.08,22.3333333333333,22,4.69,0.119
"26","2014-07-21","OKUM","Lu","median","mg/kg",0.1482,0.1482,0.1488,0.1488,0.1488,9.27e-05,7.78e-06,3.089e-06,0.00224,0.00225,2.1,22.3333333333333,19,0.1488,0.00473
"27","2014-07-21","OKUM","MgO","median","g/100g",21.24,21.29,21.3,21.3,21.31,0.0446,0.00215,0.001036,0.0465,0.0466,2.09,22.3333333333333,21,21.3,0.0972
"28","2014-07-21","OKUM","MnO","median","g/100g",0.1827,0.1813,0.18,0.18,0.18,3.88e-05,1.07e-06,6.217e-07,0.0013,0.00131,2.07,22.3333333333333,23,0.18,0.00271
"29","2014-07-21","OKUM","Na2O","median","g/100g",1.127,1.136,1.145,1.148,1.145,0.00228,0.000127,5.83e-05,0.0103,0.0103,2.08,22.3333333333333,22,1.148,0.0215
"30","2014-07-21","OKUM","Nb","median","mg/kg",0.4568,0.3651,0.3552,0.3525,0.3525,0.0074,0.000607,0.0002422,0.0263,0.0264,2.23,22.3333333333333,11,0.3525,0.0589
"31","2014-07-21","OKUM","Nd","median","mg/kg",1.478,1.494,1.498,1.499,1.499,0.00127,0.000419,0.000105,0.00942,0.00957,2.13,22.3333333333333,16,1.499,0.0204
"32","2014-07-21","OKUM","Ni","median","mg/kg",876.6,886.1,879.1,880.5,880.2,492,41.7,16.51,4.91,4.93,2.09,22.3333333333333,21,880.5,10.3
"33","2014-07-21","OKUM","P2O5","median","g/100g",0.02803,0.02659,0.02724,0.02652,0.02576,1.99e-05,2.07e-07,1.658e-07,0.00108,0.00109,2.12,22.3333333333333,17,0.02652,0.0023
"34","2014-07-21","OKUM","Pb","median","mg/kg",0.2602,0.2614,0.2626,0.2626,0.2626,5.59e-12,0.00154,3.956e-08,0.00857,0.00857,2.45,22.3333333333333,7,0.2626,0.021
"35","2014-07-21","OKUM","Pr","median","g/100g",0.2353,0.2353,0.2416,0.2416,0.2416,0.000231,2.66e-05,9.461e-06,0.00376,0.00378,2.12,22.3333333333333,17,0.2416,0.00801
"36","2014-07-21","OKUM","Rb","median","mg/kg",1.109,0.964,0.9495,0.94,0.94,0.00847,0.00244,0.0006391,0.0258,0.026,2.16,22.3333333333333,14,0.94,0.0563
"37","2014-07-21","OKUM","Sb","median","mg/kg",0.07939,0.07936,0.07795,0.07795,0.07795,7.46e-05,6.24e-05,1.193e-05,0.00439,0.00446,2.78,22.3333333333333,5,0.07795,0.0124
"38","2014-07-21","OKUM","Sc","median","mg/kg",27.51,27.93,28.25,28.5,28.25,3.55,0.327,0.1257,0.418,0.42,2.09,22.3333333333333,21,28.5,0.875
"39","2014-07-21","OKUM","SiO2","mean","g/100g",44.33,44.14,44.16,44.14,44.14,0.0832,0.0214,0.005812,0.0643,0.0648,2.08,22.3333333333333,22,44.14,0.135
"40","2014-07-21","OKUM","Sm","median","mg/kg",0.7095,0.7149,0.7105,0.7138,0.7138,0.000479,8.68e-05,2.631e-05,0.00533,0.00538,2.11,22.3333333333333,18,0.7138,0.0113
"41","2014-07-21","OKUM","Sn","median","mg/kg",0.2476,0.2476,0.258,0.258,0.258,0.000262,0.000184,3.687e-05,0.00809,0.0082,2.78,22.3333333333333,5,0.258,0.0228
"42","2014-07-21","OKUM","Sr","median","mg/kg",16.01,16.11,16.35,16.35,16.46,0.485,0.0657,0.02221,0.149,0.15,2.07,22.3333333333333,23,16.35,0.311
"43","2014-07-21","OKUM","Ta","median","mg/kg",0.0286,0.02641,0.02802,0.02761,0.02761,3.36e-05,5.56e-06,1.745e-06,0.00172,0.00173,2.2,22.3333333333333,12,0.02761,0.00382
"44","2014-07-21","OKUM","Tb","median","mg/kg",0.2253,0.2249,0.2286,0.2286,0.2286,0.000119,1.97e-05,6.189e-06,0.00265,0.00267,2.11,22.3333333333333,18,0.2286,0.00562
"45","2014-07-21","OKUM","Th","median","mg/kg",0.04245,0.031,0.03177,0.0285,0.0285,2.74e-05,3.06e-06,1.098e-06,0.00161,0.00162,2.23,22.3333333333333,11,0.0285,0.00361
"46","2014-07-21","OKUM","TiO2","median","g/100g",0.3858,0.3801,0.38,0.3781,0.3781,9e-05,7.05e-06,2.867e-06,0.00201,0.00201,2.07,22.3333333333333,23,0.3781,0.00418
"47","2014-07-21","OKUM","Tl","median","mg/kg",0.01455,0.01455,0.0143,0.0143,0.0143,5.63e-07,9.63e-08,2.932e-08,0.000446,0.000449,4.3,22.3333333333333,3,0.0143,0.00193
"48","2014-07-21","OKUM","Tm","median","mg/kg",0.1552,0.1533,0.1551,0.1549,0.1549,4.38e-05,9.08e-06,2.647e-06,0.00172,0.00173,2.13,22.3333333333333,16,0.1549,0.00368
"49","2014-07-21","OKUM","U","median","mg/kg",0.02669,0.01385,0.01222,0.01211,0.01211,1.59e-05,9.13e-07,4.111e-07,0.00116,0.00117,2.2,22.3333333333333,12,0.01211,0.00257
"50","2014-07-21","OKUM","V","median","mg/kg",166,167.8,167.5,169.5,168.5,38.6,2.92,1.201,1.44,1.45,2.1,22.3333333333333,19,169.5,3.05
"51","2014-07-21","OKUM","Y","median","mg/kg",9.141,9.082,9,8.998,8.995,0.358,0.00661,0.004398,0.138,0.138,2.1,22.3333333333333,19,8.998,0.29
"52","2014-07-21","OKUM","Yb","median","mg/kg",1.009,1.009,1.008,1.008,1.008,0.00221,0.000215,8.119e-05,0.0107,0.0107,2.09,22.3333333333333,20,1.008,0.0225
"53","2014-07-21","OKUM","Zn","median","mg/kg",61.58,61.22,62,61.8,62.11,17.2,0.929,0.4296,0.892,0.895,2.08,22.3333333333333,22,61.8,1.86
"54","2014-07-21","OKUM","Zr","median","mg/kg",18.81,16.97,17.93,17.12,17.12,5.12,0.0417,0.03596,0.567,0.567,2.13,22.3333333333333,16,17.12,1.21
